Time,useless,still,wave,nearDrops,smallDrops,drops,foam
0 sec,0,0,0,0,0,0,0
0.008 sec,0,0,0,0,0,0,0
0.017 sec,0,0,0,0,0,0,0
0.025 sec,0,0,0,0,0,0,0
0.033 sec,0,0,0,0,0,0,0
0.042 sec,0,0,0,0,0,0,0
0.05 sec,0,0,0,0,0,0,0
0.058 sec,0,0,0,0,0,0,0
0.067 sec,0,0,0,0,0,0,0
0.075 sec,0,0,0,0,0,0,0
0.083 sec,0,0,0,0,0,0,0
0.092 sec,0,0,0,0,0,0,0
0.1 sec,0,0,0,0,0,0,0
0.108 sec,0,0,0,1,0,0,0
0.117 sec,0,0,0,1,0,0,0
0.125 sec,0,0,0,1,0,0,0
0.133 sec,0,0,0,1,0,0,0
0.142 sec,0,0,0,0,0,0,0
0.15 sec,0,0,0,0,0,0,0
0.158 sec,0,0,0,0,0,0,0
0.167 sec,0,0,0,0,0,0,0
0.175 sec,0,0,0,0,1,0,0
0.184 sec,0,0,0,0,1,0,0
0.192 sec,0,0,0,0,1,0,0
0.2 sec,0,0,0,1,0,0,0
0.209 sec,0,0,0,0,0,1,0
0.217 sec,0,0,0,0,0,1,0
0.225 sec,0,0,0,0,0,1,0
0.234 sec,0,0,0,0,0,0,0
0.242 sec,0,0,0,0,0,0,0
0.25 sec,0,0,0,0,0,0,0
0.259 sec,0,0,0,0,0,0,0
0.267 sec,0,0,0,0,0,0,0
0.275 sec,0,0,0,0,0,0,0
0.284 sec,0,0,0,0,0,0,0
0.292 sec,0,0,0,0,0,0,0
0.3 sec,0,0,0,0,0,0,0
0.309 sec,0,0,0,0,0,0,0
0.317 sec,0,0,0,0,0,0,0
0.325 sec,0,0,0,0,0,0,0
0.334 sec,0,0,0,0,0,0,0
0.342 sec,0,0,0,0,0,0,0
0.35 sec,0,0,0,0,0,0,0
0.359 sec,0,0,0,0,0,0,0
0.367 sec,0,0,0,0,0,0,0
0.375 sec,0,0,0,0,0,0,0
0.384 sec,0,0,0,1,0,0,0
0.392 sec,0,0,0,1,0,0,0
0.4 sec,0,0,0,0,0,0,0
0.409 sec,0,0,0,1,0,0,0
0.417 sec,0,0,0,1,0,0,0
0.425 sec,0,0,0,1,0,0,0
0.434 sec,0,0,0,0,0,0,0
0.442 sec,0,0,0,0,0,0,0
0.45 sec,0,0,0,0,0,0,0
0.459 sec,0,0,0,0,0,0,0
0.467 sec,0,0,0,0,0,0,0
0.475 sec,0,0,0,0,0,0,0
0.484 sec,0,0,0,0,0,0,0
0.492 sec,0,0,0,0,0,0,0
0.501 sec,0,0,0,1,0,0,0
0.509 sec,0,0,0,0,0,0,0
0.517 sec,0,0,0,1,0,0,0
0.526 sec,0,0,0,0,0,0,0
0.534 sec,0,0,0,0,0,0,0
0.542 sec,0,0,0,0,0,0,0
0.551 sec,0,0,0,0,0,0,0
0.559 sec,0,0,0,0,0,0,0
0.567 sec,0,0,0,0,0,0,0
0.576 sec,0,0,0,0,0,0,0
0.584 sec,0,0,0,0,0,0,0
0.592 sec,0,0,0,0,0,0,0
0.601 sec,0,0,0,0,0,0,0
0.609 sec,0,0,0,0,0,0,0
0.617 sec,0,0,0,0,0,0,0
0.626 sec,0,0,0,0,0,0,0
0.634 sec,0,0,0,0,0,0,0
0.642 sec,0,0,0,0,0,0,0
0.651 sec,0,0,0,0,0,0,0
0.659 sec,0,0,0,0,0,0,0
0.667 sec,0,0,0,0,0,0,0
0.676 sec,0,0,0,0,0,0,0
0.684 sec,0,0,0,0,0,0,0
0.692 sec,0,0,0,0,0,0,0
0.701 sec,0,0,0,0,0,0,0
0.709 sec,0,0,0,0,0,0,0
0.717 sec,0,0,0,0,0,0,0
0.726 sec,0,0,0,0,0,0,0
0.734 sec,0,0,0,0,0,0,0
0.742 sec,0,0,0,0,0,0,0
0.751 sec,0,0,0,0,0,0,0
0.759 sec,0,0,0,0,0,0,0
0.767 sec,0,0,0,0,0,0,0
0.776 sec,0,0,0,0,0,0,0
0.784 sec,0,0,0,0,0,0,0
0.792 sec,0,0,0,0,0,0,0
0.801 sec,0,0,0,0,0,0,0
0.809 sec,0,0,0,0,0,0,0
0.817 sec,0,0,0,0,0,0,0
0.826 sec,0,0,0,0,0,0,0
0.834 sec,0,0,0,0,0,0,0
0.843 sec,0,0,0,0,0,0,0
0.851 sec,0,0,0,0,0,0,0
0.859 sec,0,0,0,0,0,0,0
0.868 sec,0,0,0,0,0,0,0
0.876 sec,0,0,0,0,0,0,0
0.884 sec,0,0,0,0,0,0,0
0.893 sec,0,0,0,0,0,0,0
0.901 sec,0,0,0,0,0,0,0
0.909 sec,0,0,0,0,0,0,0
0.918 sec,0,0,0,0,0,0,0
0.926 sec,0,0,0,0,0,0,0
0.934 sec,0,0,0,0,0,0,0
0.943 sec,0,0,0,0,0,0,0
0.951 sec,0,0,0,0,0,0,0
0.959 sec,0,0,0,0,0,0,0
0.968 sec,0,0,0,0,0,0,0
0.976 sec,0,0,0,0,0,0,0
0.984 sec,0,0,0,0,0,0,0
0.993 sec,0,0,0,0,0,0,0
1.001 sec,0,0,0,0,0,0,0
1.009 sec,0,0,0,0,0,0,0
1.018 sec,0,0,0,0,0,0,0
1.026 sec,0,0,0,0,0,0,0
1.034 sec,0,0,0,0,0,0,0
1.043 sec,0,0,0,0,0,0,0
1.051 sec,0,0,0,0,0,0,0
1.059 sec,0,0,0,0,0,0,0
1.068 sec,0,0,0,0,0,0,0
1.076 sec,0,0,0,0,0,0,0
1.084 sec,0,0,0,0,0,0,0
1.093 sec,0,0,0,0,0,0,0
1.101 sec,0,0,0,0,0,0,0
1.109 sec,0,0,0,0,0,0,0
