Time,drops
0.13333 sec,0
0.16667 sec,0
0.2 sec,0
0.23333 sec,0
0.26667 sec,0
0.3 sec,0
0.33333 sec,0
0.36667 sec,0
0.4 sec,0
0.43333 sec,0
0.46667 sec,0
0.5 sec,0
0.53333 sec,0
0.56667 sec,0
0.6 sec,0
0.63333 sec,0
0.66667 sec,0
0.7 sec,0
0.73333 sec,0
0.76667 sec,0
0.8 sec,0
0.83333 sec,0
0.86667 sec,0
0.9 sec,0
0.93333 sec,0
0.96667 sec,0
1 sec,0
1.0333 sec,0
1.0667 sec,0
1.1 sec,0
1.1333 sec,0
1.1667 sec,0
1.2 sec,0
1.2333 sec,0
1.2667 sec,0
1.3 sec,0
1.3333 sec,0
1.3667 sec,0
1.4 sec,0
1.4333 sec,0
1.4667 sec,0
1.5 sec,0
1.5333 sec,0
1.5667 sec,0
1.6 sec,0
1.6333 sec,0
1.6667 sec,0
1.7 sec,0
1.7333 sec,0
1.7667 sec,0
1.8 sec,0
1.8333 sec,0
1.8667 sec,0
1.9 sec,0
1.9333 sec,0
1.9667 sec,0
2 sec,0
2.0333 sec,0
2.0667 sec,0
2.1 sec,0
2.1333 sec,0
2.1667 sec,0
2.2 sec,0
2.2333 sec,0
2.2667 sec,0
2.3 sec,0
2.3333 sec,0
2.3667 sec,0
2.4 sec,0
2.4333 sec,0
2.4667 sec,0
2.5 sec,0
2.5333 sec,0
2.5667 sec,0
2.6 sec,0
2.6333 sec,0
2.6667 sec,0
2.7 sec,0
2.7333 sec,0
2.7667 sec,0
2.8 sec,0
2.8333 sec,0
2.8667 sec,0
2.9 sec,0
2.9333 sec,0
2.9667 sec,0
3 sec,0
3.0333 sec,0
3.0667 sec,0
3.1 sec,0
3.1333 sec,0
3.1667 sec,0
3.2 sec,0
3.2333 sec,0
3.2667 sec,0
3.3 sec,0
3.3333 sec,0
3.3667 sec,0
3.4 sec,0
3.4333 sec,0
3.4667 sec,0
3.5 sec,0
3.5333 sec,0
3.5667 sec,0
3.6 sec,0
3.6333 sec,0
3.6667 sec,0
3.7 sec,0
3.7333 sec,0
3.7667 sec,0
3.8 sec,0
3.8333 sec,0
3.8667 sec,0
3.9 sec,0
3.9333 sec,0
3.9667 sec,0
4 sec,0
4.0333 sec,0
4.0667 sec,0
4.1 sec,0
4.1333 sec,0
4.1667 sec,0
4.2 sec,0
4.2333 sec,0
4.2667 sec,0
4.3 sec,0
4.3333 sec,0
4.3667 sec,0
4.4 sec,0
4.4333 sec,0
4.4667 sec,0
4.5 sec,0
4.5333 sec,0
4.5667 sec,0
4.6 sec,0
4.6333 sec,0
4.6667 sec,0
4.7 sec,0
4.7333 sec,0
4.7667 sec,0
4.8 sec,0
4.8333 sec,0
4.8667 sec,0
4.9 sec,0
4.9333 sec,0
4.9667 sec,0
5 sec,0
5.0333 sec,0
5.0667 sec,0
5.1 sec,0
5.1333 sec,0
5.1667 sec,0
5.2 sec,0
5.2333 sec,0
5.2667 sec,0
5.3 sec,0
5.3333 sec,0
5.3667 sec,0
5.4 sec,0
5.4333 sec,0
5.4667 sec,0
5.5 sec,0
5.5333 sec,0
5.5667 sec,0
5.6 sec,0
5.6333 sec,0
5.6667 sec,0
5.7 sec,0
5.7333 sec,0
5.7667 sec,0
5.8 sec,0
5.8333 sec,0
5.8667 sec,0
5.9 sec,0
5.9333 sec,0
5.9667 sec,0
6 sec,0
6.0333 sec,0
6.0667 sec,0
6.1 sec,0
6.1333 sec,0
6.1667 sec,0
6.2 sec,0
6.2333 sec,0
6.2667 sec,0
6.3 sec,0
6.3333 sec,0
6.3667 sec,0
6.4 sec,0
6.4333 sec,0
6.4667 sec,0
6.5 sec,0
6.5333 sec,0
6.5667 sec,0
6.6 sec,0
6.6333 sec,0
6.6667 sec,0
6.7 sec,0
6.7333 sec,0
6.7667 sec,0
6.8 sec,0
6.8333 sec,0
6.8667 sec,0
6.9 sec,0
6.9333 sec,0
6.9667 sec,0
7 sec,0
7.0333 sec,0
7.0667 sec,0
7.1 sec,0
7.1333 sec,0
7.1667 sec,0
7.2 sec,0
7.2333 sec,0
7.2667 sec,0
7.3 sec,0
7.3333 sec,0
7.3667 sec,0
7.4 sec,0
7.4333 sec,0
7.4667 sec,0
7.5 sec,0
7.5333 sec,0
7.5667 sec,0
7.6 sec,0
7.6333 sec,0
7.6667 sec,0
7.7 sec,0
7.7333 sec,0
7.7667 sec,0
7.8 sec,0
7.8333 sec,0
7.8667 sec,0
7.9 sec,0
7.9333 sec,0
7.9667 sec,0
8 sec,0
8.0333 sec,0
8.0667 sec,0
8.1 sec,0
8.1333 sec,0
8.1667 sec,0
8.2 sec,0
8.2333 sec,0
8.2667 sec,0
8.3 sec,0
8.3333 sec,0
8.3667 sec,0
8.4 sec,0
8.4333 sec,0
8.4667 sec,0
8.5 sec,0
8.5333 sec,0
8.5667 sec,0
8.6 sec,0
8.6333 sec,0
8.6667 sec,0
8.7 sec,0
8.7333 sec,0
8.7667 sec,0
8.8 sec,0
8.8333 sec,0
8.8667 sec,0
8.9 sec,0
8.9333 sec,0
8.9667 sec,0
9 sec,0
9.0333 sec,0
9.0667 sec,0
9.1 sec,0
9.1333 sec,0
9.1667 sec,0
9.2 sec,0
9.2333 sec,0
9.2667 sec,0
9.3 sec,0
9.3333 sec,0
9.3667 sec,0
9.4 sec,0
9.4333 sec,0
9.4667 sec,0
9.5 sec,0
9.5333 sec,0
9.5667 sec,0
9.6 sec,0
9.6333 sec,0
9.6667 sec,0
9.7 sec,0
9.7333 sec,0
9.7667 sec,0
9.8 sec,0
9.8333 sec,0
9.8667 sec,0
9.9 sec,0
9.9333 sec,0
9.9667 sec,0
10 sec,0
10.033 sec,0
10.067 sec,0
10.1 sec,0
10.133 sec,0
10.167 sec,0
10.2 sec,0
10.233 sec,0
10.267 sec,0
10.3 sec,0
10.333 sec,0
10.367 sec,0
10.4 sec,0
10.433 sec,0
10.467 sec,0
10.5 sec,0
10.533 sec,0
10.567 sec,0
10.6 sec,0
10.633 sec,0
10.667 sec,0
10.7 sec,0
