Time,still,wave,nearDrops,smallDrops,drops,useless,foam
0 sec,0,0,0,0,0,0,1
0.008 sec,0,0,0,0,0,0,1
0.017 sec,0,0,0,0,0,0,1
0.025 sec,0,0,0,0,0,0,1
0.033 sec,0,0,0,0,0,0,1
0.042 sec,0,0,0,0,0,0,1
0.05 sec,0,0,0,0,0,0,1
0.058 sec,0,0,0,0,0,0,1
0.067 sec,0,0,0,0,0,0,1
0.075 sec,0,0,0,0,0,0,1
0.083 sec,0,0,0,0,0,0,1
0.092 sec,0,0,0,0,0,0,1
0.1 sec,0,0,0,0,0,0,1
0.108 sec,0,0,0,0,0,0,1
0.117 sec,0,0,0,0,0,0,1
0.125 sec,0,0,0,0,0,0,1
0.133 sec,0,0,0,0,0,0,1
0.142 sec,0,0,0,0,0,0,1
0.15 sec,0,0,0,0,0,0,1
0.158 sec,0,0,0,0,0,0,1
0.167 sec,0,0,0,0,0,0,1
0.175 sec,0,0,0,0,0,0,1
0.184 sec,0,0,0,0,0,0,1
0.192 sec,0,0,0,0,0,0,1
0.2 sec,0,0,0,0,0,0,1
0.209 sec,0,0,0,0,0,0,1
0.217 sec,0,0,0,0,0,0,1
0.225 sec,0,0,0,0,0,0,1
0.234 sec,0,0,0,0,0,0,1
0.242 sec,0,0,0,0,0,0,1
0.25 sec,0,0,0,0,0,0,1
0.259 sec,0,0,0,0,0,0,1
0.267 sec,0,0,0,0,0,0,1
0.275 sec,0,0,0,0,0,0,1
0.284 sec,0,0,0,0,0,0,1
0.292 sec,0,0,0,0,0,0,1
0.3 sec,0,0,0,0,0,0,1
0.309 sec,0,0,0,0,0,0,1
0.317 sec,0,0,0,0,0,0,1
0.325 sec,0,0,0,0,0,0,1
0.334 sec,0,0,0,0,0,0,1
0.342 sec,0,0,0,0,0,0,1
0.35 sec,0,0,0,0,0,0,1
0.359 sec,0,0,0,0,0,0,1
0.367 sec,0,0,0,0,0,0,1
0.375 sec,0,0,0,0,0,0,1
0.384 sec,0,0,0,0,0,0,1
0.392 sec,0,0,0,0,0,0,1
0.4 sec,0,0,0,0,0,0,1
0.409 sec,0,0,0,0,0,0,1
0.417 sec,0,0,0,0,0,0,1
0.425 sec,0,0,0,0,0,0,1
0.434 sec,0,0,0,0,0,0,1
0.442 sec,0,0,0,0,0,0,1
0.45 sec,0,0,0,0,0,0,1
0.459 sec,0,0,0,0,0,0,1
0.467 sec,0,0,0,0,0,0,1
0.475 sec,0,0,0,0,0,0,1
0.484 sec,0,0,0,0,0,0,1
0.492 sec,0,0,0,0,0,0,1
0.501 sec,0,0,0,0,0,0,1
0.509 sec,0,0,0,0,0,0,1
0.517 sec,0,0,0,0,0,0,1
0.526 sec,0,0,0,0,0,0,1
0.534 sec,0,0,0,0,0,0,1
0.542 sec,0,0,0,0,0,0,1
0.551 sec,0,0,0,0,0,0,1
0.559 sec,0,0,0,0,0,0,1
0.567 sec,0,0,0,0,0,0,1
0.576 sec,0,0,0,0,0,0,1
0.584 sec,0,0,0,0,0,0,1
0.592 sec,0,0,0,0,0,0,1
0.601 sec,0,0,0,0,0,0,1
0.609 sec,0,0,0,0,0,0,1
